##NAMES=Clinofergusonite-(Ce)
##RRUFFID=R080102
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_
##LOCALITY=Amherst County, Virginia, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Tan to light brown colored fragment from metamict sample R070300, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080102
1.247718e+003, 2.064226e-002
1.249646e+003, 2.022645e-002
1.251575e+003, 1.974680e-002
1.253503e+003, 1.934600e-002
1.255432e+003, 1.899599e-002
1.257360e+003, 1.867793e-002
1.259289e+003, 1.843782e-002
1.261217e+003, 1.833995e-002
1.263146e+003, 1.829551e-002
1.265074e+003, 1.818741e-002
1.267003e+003, 1.787365e-002
1.268931e+003, 1.767032e-002
1.270859e+003, 1.752910e-002
1.272788e+003, 1.729669e-002
1.274716e+003, 1.709577e-002
1.276645e+003, 1.698968e-002
1.278573e+003, 1.678907e-002
1.280502e+003, 1.657309e-002
1.282430e+003, 1.632390e-002
1.284359e+003, 1.621012e-002
1.286287e+003, 1.615369e-002
1.288216e+003, 1.605015e-002
1.290144e+003, 1.594275e-002
1.292073e+003, 1.596631e-002
1.294001e+003, 1.594581e-002
1.295930e+003, 1.596808e-002
1.297858e+003, 1.597980e-002
1.299786e+003, 1.605020e-002
1.301715e+003, 1.616264e-002
1.303643e+003, 1.614116e-002
1.305572e+003, 1.611879e-002
1.307500e+003, 1.626550e-002
1.309429e+003, 1.638773e-002
1.311357e+003, 1.647863e-002
1.313286e+003, 1.661782e-002
1.315214e+003, 1.666331e-002
1.317143e+003, 1.655668e-002
1.319071e+003, 1.663167e-002
1.321000e+003, 1.671439e-002
1.322928e+003, 1.675666e-002
1.324857e+003, 1.672188e-002
1.326785e+003, 1.670825e-002
1.328714e+003, 1.676263e-002
1.330642e+003, 1.676844e-002
1.332570e+003, 1.690657e-002
1.334499e+003, 1.700716e-002
1.336427e+003, 1.703781e-002
1.338356e+003, 1.721009e-002
1.340284e+003, 1.732080e-002
1.342213e+003, 1.736781e-002
1.344141e+003, 1.759069e-002
1.346070e+003, 1.775283e-002
1.347998e+003, 1.775092e-002
1.349927e+003, 1.788292e-002
1.351855e+003, 1.794389e-002
1.353784e+003, 1.808230e-002
1.355712e+003, 1.830339e-002
1.357641e+003, 1.848963e-002
1.359569e+003, 1.864760e-002
1.361497e+003, 1.887941e-002
1.363426e+003, 1.907418e-002
1.365354e+003, 1.932504e-002
1.367283e+003, 1.951275e-002
1.369211e+003, 1.962861e-002
1.371140e+003, 1.977882e-002
1.373068e+003, 1.993524e-002
1.374997e+003, 2.005195e-002
1.376925e+003, 2.018242e-002
1.378854e+003, 2.037298e-002
1.380782e+003, 2.054719e-002
1.382711e+003, 2.059821e-002
1.384639e+003, 2.063454e-002
1.386568e+003, 2.075857e-002
1.388496e+003, 2.093675e-002
1.390424e+003, 2.108566e-002
1.392353e+003, 2.112493e-002
1.394281e+003, 2.123261e-002
1.396210e+003, 2.145481e-002
1.398138e+003, 2.157089e-002
1.400067e+003, 2.168573e-002
1.401995e+003, 2.169677e-002
1.403924e+003, 2.183933e-002
1.405852e+003, 2.200477e-002
1.407781e+003, 2.213047e-002
1.409709e+003, 2.220883e-002
1.411638e+003, 2.231274e-002
1.413566e+003, 2.235216e-002
1.415495e+003, 2.242677e-002
1.417423e+003, 2.268763e-002
1.419351e+003, 2.296144e-002
1.421280e+003, 2.293472e-002
1.423208e+003, 2.310681e-002
1.425137e+003, 2.346712e-002
1.427065e+003, 2.377038e-002
1.428994e+003, 2.401237e-002
1.430922e+003, 2.427832e-002
1.432851e+003, 2.452835e-002
1.434779e+003, 2.490435e-002
1.436708e+003, 2.522951e-002
1.438636e+003, 2.512873e-002
1.440565e+003, 2.508197e-002
1.442493e+003, 2.531309e-002
1.444422e+003, 2.555238e-002
1.446350e+003, 2.574200e-002
1.448278e+003, 2.586847e-002
1.450207e+003, 2.596235e-002
1.452135e+003, 2.601578e-002
1.454064e+003, 2.613006e-002
1.455992e+003, 2.647538e-002
1.457921e+003, 2.660258e-002
1.459849e+003, 2.636628e-002
1.461778e+003, 2.612458e-002
1.463706e+003, 2.605181e-002
1.465635e+003, 2.599083e-002
1.467563e+003, 2.576209e-002
1.469492e+003, 2.553424e-002
1.471420e+003, 2.523267e-002
1.473349e+003, 2.492862e-002
1.475277e+003, 2.464028e-002
1.477205e+003, 2.452861e-002
1.479134e+003, 2.445610e-002
1.481062e+003, 2.445643e-002
1.482991e+003, 2.450915e-002
1.484919e+003, 2.452901e-002
1.486848e+003, 2.456378e-002
1.488776e+003, 2.463151e-002
1.490705e+003, 2.444400e-002
1.492633e+003, 2.429794e-002
1.494562e+003, 2.436671e-002
1.496490e+003, 2.450627e-002
1.498419e+003, 2.451651e-002
1.500347e+003, 2.447739e-002
1.502276e+003, 2.434334e-002
1.504204e+003, 2.471018e-002
1.506132e+003, 2.528187e-002
1.508061e+003, 2.519734e-002
1.509989e+003, 2.506169e-002
1.511918e+003, 2.523315e-002
1.513846e+003, 2.528874e-002
1.515775e+003, 2.556015e-002
1.517703e+003, 2.590233e-002
1.519632e+003, 2.616718e-002
