##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
6.325369e+002, 6.534425e-002
6.344653e+002, 6.572699e-002
6.363938e+002, 6.602341e-002
6.383223e+002, 6.651549e-002
6.402507e+002, 6.730305e-002
6.421792e+002, 6.777199e-002
6.441077e+002, 6.813864e-002
6.460361e+002, 6.848496e-002
6.479646e+002, 6.872780e-002
6.498931e+002, 6.907283e-002
6.518215e+002, 6.928819e-002
6.537500e+002, 6.954371e-002
6.556785e+002, 6.931665e-002
6.576069e+002, 6.905584e-002
6.595354e+002, 6.920443e-002
6.614639e+002, 6.909687e-002
6.633923e+002, 6.881860e-002
6.653208e+002, 6.873006e-002
6.672493e+002, 6.855454e-002
6.691777e+002, 6.835872e-002
6.711062e+002, 6.861717e-002
6.730347e+002, 6.837546e-002
6.749631e+002, 6.782805e-002
6.768916e+002, 6.779297e-002
6.788201e+002, 6.763523e-002
6.807485e+002, 6.694291e-002
6.826770e+002, 6.625453e-002
6.846055e+002, 6.602126e-002
6.865339e+002, 6.593946e-002
6.884624e+002, 6.548995e-002
6.903909e+002, 6.519879e-002
6.923193e+002, 6.493277e-002
6.942478e+002, 6.427176e-002
6.961763e+002, 6.344964e-002
6.981047e+002, 6.227962e-002
7.000332e+002, 6.193065e-002
##END=



