##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
1112.725, 6.7971550E-02
1114.654, 7.3640861E-02
1116.582, 8.0444343E-02
1118.511, 8.8909037E-02
1120.439, 9.8938987E-02
1122.368, 0.1097549
1124.296, 0.1204841
1126.225, 0.1300365
1128.153, 0.1377290
1130.082, 0.1435815
1132.010, 0.1470004
1133.938, 0.1478605
1135.867, 0.1460874
1137.795, 0.1417406
1139.724, 0.1349823
1141.652, 0.1261367
1143.581, 0.1164332
1145.509, 0.1070322
1147.438, 9.8164178E-02
1149.366, 9.0523511E-02
1151.295, 8.4741391E-02
1153.223, 8.0278330E-02
1155.152, 7.7430330E-02
1157.080, 7.6866649E-02
1159.009, 7.9053067E-02
1160.937, 8.4190413E-02
1162.865, 9.2749380E-02
1164.794, 0.1046617
1166.722, 0.1192572
1168.651, 0.1343618
1170.579, 0.1473024
1172.508, 0.1558835
1174.436, 0.1583119
1176.365, 0.1535518
1178.293, 0.1422896
1180.222, 0.1269130
1182.150, 0.1103767
1184.079, 9.4901979E-02
1186.007, 8.1205644E-02
1187.936, 6.9431379E-02
1189.864, 5.9398562E-02
1191.792, 5.1309180E-02
1193.721, 4.4533681E-02
1195.649, 3.9011478E-02
1197.578, 3.4876861E-02
1199.506, 3.1326029E-02
1201.435, 2.8183211E-02
1203.363, 2.5816010E-02
1205.292, 2.3988210E-02
1207.220, 2.2352720E-02
1209.149, 2.0931320E-02
1211.077, 1.9700941E-02
1213.006, 1.8649479E-02
1214.934, 1.7749600E-02
1216.863, 1.6988169E-02
1218.791, 1.6453570E-02
1220.719, 1.5805479E-02
1222.648, 1.5145100E-02
1224.576, 1.4762590E-02
1226.505, 1.4240860E-02
1228.433, 1.3757800E-02
1230.362, 1.3381850E-02
1232.290, 1.2953960E-02
1234.219, 1.2505110E-02
1236.147, 1.2387400E-02
1238.076, 1.2201780E-02
1240.004, 1.1568050E-02
1241.933, 1.1292990E-02
1243.861, 1.0848110E-02
1245.790, 1.0240300E-02
1247.718, 1.0024940E-02
1249.646, 1.0122810E-02
1251.575, 9.9469889E-03
1253.503, 9.6079092E-03
1255.432, 9.3627945E-03
1257.360, 9.0286462E-03
1259.289, 8.8268267E-03
1261.217, 8.7917177E-03
1263.146, 8.7622916E-03
1265.074, 8.6003030E-03
1267.003, 8.3907340E-03
1268.931, 8.3964188E-03
1270.860, 8.3346609E-03
1272.788, 8.4307594E-03
1274.717, 8.4328558E-03
1276.645, 8.1913676E-03
1278.573, 8.2157794E-03
1280.502, 8.2201175E-03
1282.430, 8.0635184E-03
1284.359, 7.9114661E-03
1286.287, 7.7920770E-03
1288.216, 7.7119181E-03
1290.144, 7.4588861E-03
1292.073, 7.3368568E-03
1294.001, 7.5721750E-03
1295.930, 7.7133882E-03
1297.858, 7.4565061E-03
1299.787, 7.3717590E-03
1301.715, 7.4666892E-03
1303.644, 7.2898809E-03
1305.572, 7.3123202E-03
1307.500, 7.2938078E-03
1309.429, 7.0766560E-03
1311.357, 6.8588788E-03
1313.286, 6.7220172E-03
1315.214, 6.7523909E-03
1317.143, 6.7453370E-03
1319.071, 6.9262101E-03
1321.000, 7.3159998E-03
1322.928, 7.6098219E-03
1324.857, 7.6021878E-03
1326.785, 7.3816590E-03
1328.714, 7.2143110E-03
1330.642, 7.1531320E-03
1332.571, 7.2495588E-03
1334.499, 7.3963152E-03
1336.427, 7.5372178E-03
1338.356, 7.6409611E-03
1340.284, 7.6817600E-03
1342.213, 7.7245380E-03
1344.141, 7.8450898E-03
1346.070, 7.9013715E-03
1347.998, 7.9106083E-03
1349.927, 8.1300130E-03
