##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
9.372348e+002, 1.383471e-003
9.391633e+002, 1.292221e-003
9.410917e+002, 1.257314e-003
9.430202e+002, 1.219497e-003
9.449487e+002, 1.094293e-003
9.468771e+002, 1.053246e-003
9.488056e+002, 1.051963e-003
9.507341e+002, 1.079658e-003
9.526625e+002, 1.079259e-003
9.545910e+002, 1.051671e-003
9.565195e+002, 9.768467e-004
9.584479e+002, 9.708300e-004
9.603764e+002, 1.022708e-003
9.623049e+002, 1.007764e-003
9.642333e+002, 8.490065e-004
9.661618e+002, 8.668755e-004
9.680903e+002, 9.052244e-004
9.700187e+002, 8.276387e-004
9.719472e+002, 8.906343e-004
9.738757e+002, 8.943434e-004
9.758041e+002, 7.724571e-004
9.777326e+002, 8.437400e-004
9.796611e+002, 8.672957e-004
9.815895e+002, 9.032936e-004
9.835180e+002, 9.157481e-004
9.854465e+002, 9.581225e-004
9.873749e+002, 8.905531e-004
9.893034e+002, 7.269637e-004
9.912319e+002, 7.607884e-004
9.931603e+002, 8.677747e-004
9.950888e+002, 8.778195e-004
9.970173e+002, 9.191133e-004
9.989457e+002, 8.230800e-004
1.000874e+003, 6.877612e-004
1.002803e+003, 6.898164e-004
1.004731e+003, 7.414609e-004
1.006660e+003, 7.105058e-004
1.008588e+003, 7.226449e-004
1.010517e+003, 7.201666e-004
1.012445e+003, 6.592426e-004
1.014373e+003, 7.209914e-004
1.016302e+003, 7.544730e-004
1.018230e+003, 6.648944e-004
1.020159e+003, 6.284373e-004
1.022087e+003, 4.526884e-004
1.024016e+003, 3.607872e-004
1.025944e+003, 4.874307e-004
1.027873e+003, 5.086293e-004
1.029801e+003, 5.444263e-004
1.031730e+003, 5.396896e-004
1.033658e+003, 4.960124e-004
1.035587e+003, 5.585295e-004
1.037515e+003, 4.761706e-004
1.039443e+003, 4.665331e-004
1.041372e+003, 4.787905e-004
1.043300e+003, 4.061389e-004
1.045229e+003, 2.795756e-004
1.047157e+003, 2.818911e-004
1.049086e+003, 3.036553e-004
1.051014e+003, 2.311701e-004
1.052943e+003, 2.180072e-004
1.054871e+003, 2.234685e-004
1.056800e+003, 1.952479e-004
1.058728e+003, 2.165830e-004
1.060657e+003, 1.636661e-004
1.062585e+003, 8.577106e-005
1.064514e+003, 1.217974e-004
1.066442e+003, 4.259219e-005
1.068370e+003, 3.751644e-006
1.070299e+003, 1.673016e-005
1.072227e+003, 5.345313e-005
1.074156e+003, 7.635608e-005
1.076084e+003, 1.989163e-005
1.078013e+003, -1.162537e-005
1.079941e+003, -9.359407e-005
1.081870e+003, -1.268530e-004
1.083798e+003, -7.445391e-005
1.085727e+003, -1.059277e-004
1.087655e+003, -6.660027e-005
1.089584e+003, 1.045539e-005
1.091512e+003, -4.093146e-005
1.093441e+003, -3.923998e-005
1.095369e+003, 4.302397e-006
1.097297e+003, 5.679771e-006
1.099226e+003, 5.420703e-006
1.101154e+003, -2.009845e-004
1.103083e+003, -4.688230e-004
1.105011e+003, -4.724373e-004
1.106940e+003, -4.499716e-004
1.108868e+003, -4.392809e-004
1.110797e+003, -5.220178e-004
1.112725e+003, -5.916971e-004
1.114654e+003, -4.466362e-004
1.116582e+003, -3.907541e-004
1.118511e+003, -4.263652e-004
1.120439e+003, -3.334846e-004
1.122368e+003, -2.919665e-004
1.124296e+003, -3.336965e-004
1.126224e+003, -4.827976e-004
1.128153e+003, -5.035834e-004
1.130081e+003, -5.268661e-004
1.132010e+003, -5.693344e-004
1.133938e+003, -5.698345e-004
1.135867e+003, -6.353636e-004
1.137795e+003, -6.746390e-004
1.139724e+003, -6.373679e-004
1.141652e+003, -6.739773e-004
1.143581e+003, -6.334304e-004
1.145509e+003, -6.670061e-004
1.147438e+003, -6.747912e-004
1.149366e+003, -7.421158e-004
1.151295e+003, -8.185298e-004
1.153223e+003, -8.689028e-004
1.155151e+003, -7.821809e-004
1.157080e+003, -6.953770e-004
1.159008e+003, -6.586651e-004
1.160937e+003, -6.463746e-004
1.162865e+003, -5.769636e-004
1.164794e+003, -6.329133e-004
1.166722e+003, -7.590672e-004
1.168651e+003, -7.379949e-004
1.170579e+003, -7.481799e-004
1.172508e+003, -8.927968e-004
1.174436e+003, -8.297595e-004
1.176365e+003, -7.260995e-004
1.178293e+003, -7.194375e-004
1.180222e+003, -7.662096e-004
1.182150e+003, -7.625180e-004
1.184078e+003, -8.740919e-004
1.186007e+003, -1.005456e-003
1.187935e+003, -8.856697e-004
1.189864e+003, -9.053918e-004
1.191792e+003, -9.515872e-004
1.193721e+003, -8.218979e-004
1.195649e+003, -8.331789e-004
1.197578e+003, -9.569513e-004
1.199506e+003, -8.897612e-004
1.201435e+003, -7.493608e-004
1.203363e+003, -8.148071e-004
1.205292e+003, -8.770247e-004
1.207220e+003, -9.320033e-004
1.209149e+003, -1.004701e-003
1.211077e+003, -1.000482e-003
1.213005e+003, -9.735390e-004
1.214934e+003, -9.052323e-004
1.216862e+003, -8.983625e-004
1.218791e+003, -9.128358e-004
1.220719e+003, -9.013060e-004
1.222648e+003, -8.519161e-004
1.224576e+003, -9.122691e-004
1.226505e+003, -1.032755e-003
1.228433e+003, -1.040216e-003
1.230362e+003, -1.029019e-003
1.232290e+003, -9.040664e-004
1.234219e+003, -8.526355e-004
1.236147e+003, -1.046737e-003
1.238076e+003, -1.113498e-003
1.240004e+003, -1.069912e-003
1.241932e+003, -1.092303e-003
1.243861e+003, -1.026405e-003
1.245789e+003, -1.067123e-003
1.247718e+003, -1.108126e-003
1.249646e+003, -1.044616e-003
1.251575e+003, -9.461257e-004
1.253503e+003, -1.012707e-003
1.255432e+003, -1.102231e-003
1.257360e+003, -1.182991e-003
1.259289e+003, -1.269933e-003
1.261217e+003, -1.233426e-003
1.263146e+003, -1.096681e-003
1.265074e+003, -9.905711e-004
1.267003e+003, -1.100263e-003
1.268931e+003, -1.229898e-003
1.270859e+003, -1.068963e-003
1.272788e+003, -9.279930e-004
1.274716e+003, -8.864212e-004
1.276645e+003, -9.920612e-004
1.278573e+003, -1.044971e-003
1.280502e+003, -1.021593e-003
1.282430e+003, -9.519893e-004
1.284359e+003, -8.846694e-004
1.286287e+003, -7.492923e-004
1.288216e+003, -7.206942e-004
1.290144e+003, -8.865388e-004
1.292073e+003, -9.569689e-004
1.294001e+003, -8.839075e-004
1.295930e+003, -8.880884e-004
1.297858e+003, -9.084237e-004
1.299786e+003, -8.731738e-004
1.301715e+003, -8.140390e-004
1.303643e+003, -7.973379e-004
1.305572e+003, -7.536670e-004
1.307500e+003, -7.465968e-004
1.309429e+003, -9.100699e-004
1.311357e+003, -9.602072e-004
1.313286e+003, -8.830650e-004
1.315214e+003, -8.529399e-004
1.317143e+003, -8.645130e-004
1.319071e+003, -8.827040e-004
1.321000e+003, -9.345959e-004
1.322928e+003, -9.504409e-004
1.324857e+003, -8.732777e-004
1.326785e+003, -7.954803e-004
1.328714e+003, -8.715468e-004
1.330642e+003, -9.323686e-004
1.332570e+003, -9.128178e-004
