##NAMES=Aeschynite-(Y)
##RRUFFID=R080045
##IDEAL CHEMISTRY=(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_
##LOCALITY=Hittero, Vest-Agder, Norway
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Light brown glassy, from black amorphous sample R060312 after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080045
1.199506e+003, 1.883573e-002
1.201435e+003, 1.879040e-002
1.203363e+003, 1.865046e-002
1.205292e+003, 1.857631e-002
1.207220e+003, 1.857665e-002
1.209149e+003, 1.843492e-002
1.211077e+003, 1.845622e-002
1.213005e+003, 1.849959e-002
1.214934e+003, 1.851812e-002
1.216862e+003, 1.855169e-002
1.218791e+003, 1.858569e-002
1.220719e+003, 1.859038e-002
1.222648e+003, 1.870648e-002
1.224576e+003, 1.893487e-002
1.226505e+003, 1.910844e-002
1.228433e+003, 1.918476e-002
1.230362e+003, 1.932642e-002
1.232290e+003, 1.954187e-002
1.234219e+003, 1.970315e-002
1.236147e+003, 1.980860e-002
1.238076e+003, 1.985764e-002
1.240004e+003, 1.992570e-002
1.241932e+003, 2.006482e-002
1.243861e+003, 2.018180e-002
1.245789e+003, 2.022971e-002
1.247718e+003, 2.022695e-002
1.249646e+003, 2.025692e-002
1.251575e+003, 2.025043e-002
1.253503e+003, 2.027659e-002
1.255432e+003, 2.032381e-002
1.257360e+003, 2.041492e-002
1.259289e+003, 2.055960e-002
1.261217e+003, 2.076272e-002
1.263146e+003, 2.087715e-002
1.265074e+003, 2.097382e-002
1.267003e+003, 2.096152e-002
1.268931e+003, 2.099579e-002
1.270859e+003, 2.118612e-002
1.272788e+003, 2.119587e-002
1.274716e+003, 2.119981e-002
1.276645e+003, 2.132151e-002
1.278573e+003, 2.131898e-002
1.280502e+003, 2.126178e-002
1.282430e+003, 2.142016e-002
1.284359e+003, 2.157100e-002
1.286287e+003, 2.150261e-002
1.288216e+003, 2.154208e-002
1.290144e+003, 2.172242e-002
1.292073e+003, 2.188953e-002
1.294001e+003, 2.201186e-002
1.295930e+003, 2.211366e-002
1.297858e+003, 2.216929e-002
1.299786e+003, 2.230406e-002
1.301715e+003, 2.254659e-002
1.303643e+003, 2.280147e-002
1.305572e+003, 2.298781e-002
1.307500e+003, 2.307004e-002
1.309429e+003, 2.325166e-002
1.311357e+003, 2.344504e-002
1.313286e+003, 2.364100e-002
1.315214e+003, 2.373145e-002
1.317143e+003, 2.375379e-002
1.319071e+003, 2.398719e-002
1.321000e+003, 2.417299e-002
1.322928e+003, 2.435360e-002
1.324857e+003, 2.452133e-002
1.326785e+003, 2.460437e-002
1.328714e+003, 2.470363e-002
1.330642e+003, 2.489049e-002
1.332570e+003, 2.515262e-002
1.334499e+003, 2.539572e-002
1.336427e+003, 2.564565e-002
1.338356e+003, 2.585811e-002
1.340284e+003, 2.612817e-002
1.342213e+003, 2.624135e-002
1.344141e+003, 2.625008e-002
1.346070e+003, 2.641604e-002
1.347998e+003, 2.674027e-002
1.349927e+003, 2.693708e-002
1.351855e+003, 2.704080e-002
1.353784e+003, 2.729825e-002
1.355712e+003, 2.750463e-002
1.357641e+003, 2.764727e-002
1.359569e+003, 2.800067e-002
1.361497e+003, 2.826664e-002
1.363426e+003, 2.839065e-002
1.365354e+003, 2.860459e-002
1.367283e+003, 2.877242e-002
1.369211e+003, 2.904934e-002
1.371140e+003, 2.930015e-002
1.373068e+003, 2.942610e-002
1.374997e+003, 2.952692e-002
1.376925e+003, 2.971273e-002
1.378854e+003, 2.991464e-002
1.380782e+003, 3.000073e-002
1.382711e+003, 3.005471e-002
1.384639e+003, 3.025192e-002
1.386568e+003, 3.055278e-002
1.388496e+003, 3.071120e-002
1.390424e+003, 3.089281e-002
1.392353e+003, 3.104778e-002
1.394281e+003, 3.125197e-002
1.396210e+003, 3.135375e-002
1.398138e+003, 3.150215e-002
1.400067e+003, 3.163028e-002
1.401995e+003, 3.180134e-002
1.403924e+003, 3.207508e-002
1.405852e+003, 3.222756e-002
1.407781e+003, 3.236388e-002
1.409709e+003, 3.258898e-002
1.411638e+003, 3.276287e-002
1.413566e+003, 3.273737e-002
1.415495e+003, 3.284036e-002
1.417423e+003, 3.323165e-002
1.419351e+003, 3.356001e-002
1.421280e+003, 3.355698e-002
1.423208e+003, 3.371201e-002
1.425137e+003, 3.390801e-002
1.427065e+003, 3.394281e-002
1.428994e+003, 3.421613e-002
1.430922e+003, 3.454338e-002
1.432851e+003, 3.472978e-002
1.434779e+003, 3.498778e-002
1.436708e+003, 3.522674e-002
1.438636e+003, 3.512672e-002
1.440565e+003, 3.516290e-002
1.442493e+003, 3.548284e-002
1.444422e+003, 3.568179e-002
1.446350e+003, 3.576651e-002
1.448278e+003, 3.597332e-002
1.450207e+003, 3.604987e-002
1.452135e+003, 3.612241e-002
1.454064e+003, 3.637695e-002
1.455992e+003, 3.682714e-002
1.457921e+003, 3.684418e-002
1.459849e+003, 3.656872e-002
1.461778e+003, 3.649066e-002
1.463706e+003, 3.656881e-002
1.465635e+003, 3.641918e-002
1.467563e+003, 3.601611e-002
1.469492e+003, 3.584879e-002
1.471420e+003, 3.594999e-002
1.473349e+003, 3.599354e-002
1.475277e+003, 3.591966e-002
1.477205e+003, 3.582158e-002
1.479134e+003, 3.585782e-002
1.481062e+003, 3.602943e-002
1.482991e+003, 3.617359e-002
1.484919e+003, 3.621022e-002
1.486848e+003, 3.629476e-002
1.488776e+003, 3.641385e-002
1.490705e+003, 3.657217e-002
1.492633e+003, 3.657605e-002
1.494562e+003, 3.675850e-002
1.496490e+003, 3.702264e-002
1.498419e+003, 3.715482e-002
1.500347e+003, 3.718079e-002
1.502276e+003, 3.717667e-002
1.504204e+003, 3.750125e-002
1.506132e+003, 3.806405e-002
1.508061e+003, 3.821687e-002
1.509989e+003, 3.807764e-002
1.511918e+003, 3.814315e-002
1.513846e+003, 3.839427e-002
1.515775e+003, 3.871595e-002
1.517703e+003, 3.895964e-002
1.519632e+003, 3.933304e-002
1.521560e+003, 3.953805e-002
1.523489e+003, 3.938669e-002
1.525417e+003, 3.955993e-002
1.527346e+003, 3.985544e-002
1.529274e+003, 4.004854e-002
1.531203e+003, 4.026352e-002
1.533131e+003, 4.063624e-002
1.535059e+003, 4.075770e-002
1.536988e+003, 4.103215e-002
1.538916e+003, 4.178131e-002
1.540845e+003, 4.197433e-002
1.542773e+003, 4.176740e-002
1.544702e+003, 4.171471e-002
1.546630e+003, 4.172964e-002
1.548559e+003, 4.188542e-002
1.550487e+003, 4.200303e-002
1.552416e+003, 4.201515e-002
1.554344e+003, 4.218991e-002
1.556273e+003, 4.243243e-002
1.558201e+003, 4.297341e-002
1.560130e+003, 4.292129e-002
1.562058e+003, 4.230756e-002
1.563986e+003, 4.221398e-002
1.565915e+003, 4.234559e-002
1.567843e+003, 4.246132e-002
1.569772e+003, 4.257700e-002
1.571700e+003, 4.263242e-002
1.573629e+003, 4.279340e-002
1.575557e+003, 4.317556e-002
1.577486e+003, 4.326114e-002
1.579414e+003, 4.317318e-002
1.581343e+003, 4.315587e-002
1.583271e+003, 4.311013e-002
1.585200e+003, 4.311818e-002
1.587128e+003, 4.306645e-002
1.589057e+003, 4.326042e-002
1.590985e+003, 4.352124e-002
1.592913e+003, 4.358343e-002
1.594842e+003, 4.355072e-002
1.596770e+003, 4.361662e-002
1.598699e+003, 4.370196e-002
1.600627e+003, 4.376241e-002
1.602556e+003, 4.387762e-002
1.604484e+003, 4.414891e-002
1.606413e+003, 4.433468e-002
1.608341e+003, 4.436866e-002
1.610270e+003, 4.450669e-002
1.612198e+003, 4.471640e-002
1.614127e+003, 4.493169e-002
1.616055e+003, 4.541706e-002
1.617984e+003, 4.552611e-002
1.619912e+003, 4.550272e-002
1.621840e+003, 4.572270e-002
1.623769e+003, 4.595265e-002
1.625697e+003, 4.598302e-002
1.627626e+003, 4.608811e-002
1.629554e+003, 4.623199e-002
1.631483e+003, 4.648622e-002
1.633411e+003, 4.690246e-002
1.635340e+003, 4.722586e-002
1.637268e+003, 4.714746e-002
1.639197e+003, 4.697186e-002
1.641125e+003, 4.704420e-002
1.643054e+003, 4.726676e-002
1.644982e+003, 4.771556e-002
1.646911e+003, 4.799253e-002
1.648839e+003, 4.794912e-002
1.650767e+003, 4.813417e-002
1.652696e+003, 4.856290e-002
1.654624e+003, 4.834221e-002
1.656553e+003, 4.791455e-002
1.658481e+003, 4.784898e-002
1.660410e+003, 4.802646e-002
1.662338e+003, 4.820523e-002
1.664267e+003, 4.796746e-002
1.666195e+003, 4.788878e-002
1.668124e+003, 4.810071e-002
1.670052e+003, 4.815863e-002
1.671981e+003, 4.790397e-002
1.673909e+003, 4.795288e-002
1.675838e+003, 4.794383e-002
1.677766e+003, 4.777305e-002
1.679694e+003, 4.783010e-002
1.681623e+003, 4.796010e-002
