##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
1.216862e+003, 3.027290e-002
1.218791e+003, 2.763594e-002
1.220719e+003, 2.507716e-002
1.222648e+003, 2.261754e-002
1.224576e+003, 2.049947e-002
1.226505e+003, 1.881037e-002
1.228433e+003, 1.721334e-002
1.230362e+003, 1.575705e-002
1.232290e+003, 1.464548e-002
1.234219e+003, 1.381219e-002
1.236147e+003, 1.339997e-002
1.238076e+003, 1.317337e-002
1.240004e+003, 1.304860e-002
1.241932e+003, 1.248964e-002
1.243861e+003, 1.187250e-002
1.245789e+003, 1.125742e-002
1.247718e+003, 1.079693e-002
1.249646e+003, 1.055378e-002
1.251575e+003, 1.058102e-002
1.253503e+003, 1.031721e-002
1.255432e+003, 1.006034e-002
1.257360e+003, 9.981851e-003
1.259289e+003, 9.907927e-003
1.261217e+003, 9.542000e-003
1.263146e+003, 9.224882e-003
1.265074e+003, 9.111566e-003
1.267003e+003, 8.804318e-003
1.268931e+003, 8.554907e-003
1.270859e+003, 8.395539e-003
1.272788e+003, 8.293622e-003
1.274716e+003, 8.602062e-003
1.276645e+003, 8.556520e-003
1.278573e+003, 8.462284e-003
1.280502e+003, 8.119107e-003
1.282430e+003, 7.991309e-003
1.284359e+003, 7.860924e-003
1.286287e+003, 7.843206e-003
1.288216e+003, 7.931154e-003
1.290144e+003, 7.776297e-003
1.292073e+003, 7.488647e-003
1.294001e+003, 7.617633e-003
1.295930e+003, 7.735241e-003
1.297858e+003, 7.628830e-003
1.299786e+003, 7.645753e-003
1.301715e+003, 7.626976e-003
1.303643e+003, 7.287649e-003
1.305572e+003, 6.955296e-003
1.307500e+003, 7.354895e-003
1.309429e+003, 7.855758e-003
1.311357e+003, 8.089452e-003
1.313286e+003, 8.132334e-003
1.315214e+003, 8.100382e-003
1.317143e+003, 8.105531e-003
1.319071e+003, 8.154859e-003
1.321000e+003, 8.446332e-003
1.322928e+003, 8.848743e-003
1.324857e+003, 9.020587e-003
1.326785e+003, 9.112319e-003
1.328714e+003, 9.360520e-003
1.330642e+003, 9.683156e-003
1.332570e+003, 1.012677e-002
1.334499e+003, 1.057280e-002
1.336427e+003, 1.109126e-002
1.338356e+003, 1.142959e-002
1.340284e+003, 1.181199e-002
1.342213e+003, 1.265797e-002
1.344141e+003, 1.343479e-002
1.346070e+003, 1.416067e-002
1.347998e+003, 1.542350e-002
1.349927e+003, 1.666263e-002
1.351855e+003, 1.808712e-002
1.353784e+003, 1.981937e-002
1.355712e+003, 2.093075e-002
1.357641e+003, 2.141699e-002
1.359569e+003, 2.152020e-002
1.361497e+003, 2.089042e-002
1.363426e+003, 2.012302e-002
1.365354e+003, 1.856028e-002
1.367283e+003, 1.677853e-002
1.369211e+003, 1.503802e-002
1.371140e+003, 1.317170e-002
1.373068e+003, 1.157604e-002
1.374997e+003, 1.012311e-002
1.376925e+003, 9.003638e-003
1.378854e+003, 8.467221e-003
1.380782e+003, 8.084679e-003
1.382711e+003, 7.940056e-003
1.384639e+003, 7.642707e-003
1.386568e+003, 7.689972e-003
1.388496e+003, 7.686734e-003
1.390424e+003, 7.657796e-003
1.392353e+003, 7.714628e-003
1.394281e+003, 7.650639e-003
1.396210e+003, 7.351619e-003
1.398138e+003, 7.330216e-003
1.400067e+003, 7.095608e-003
1.401995e+003, 7.007350e-003
1.403924e+003, 7.340728e-003
1.405852e+003, 7.362597e-003
1.407781e+003, 7.211019e-003
1.409709e+003, 7.650106e-003
1.411638e+003, 7.991716e-003
1.413566e+003, 8.005765e-003
1.415495e+003, 8.044818e-003
1.417423e+003, 8.004676e-003
1.419351e+003, 7.914236e-003
1.421280e+003, 8.062908e-003
1.423208e+003, 7.925615e-003
1.425137e+003, 7.784418e-003
1.427065e+003, 7.875256e-003
1.428994e+003, 8.267680e-003
1.430922e+003, 8.334239e-003
1.432851e+003, 8.150242e-003
1.434779e+003, 7.971224e-003
1.436708e+003, 8.290746e-003
1.438636e+003, 8.620530e-003
1.440565e+003, 8.619890e-003
1.442493e+003, 8.258263e-003
1.444422e+003, 7.942488e-003
1.446350e+003, 7.616598e-003
1.448278e+003, 7.954705e-003
1.450207e+003, 8.385299e-003
1.452135e+003, 8.484809e-003
1.454064e+003, 8.627447e-003
1.455992e+003, 8.938954e-003
1.457921e+003, 8.805247e-003
1.459849e+003, 8.525469e-003
1.461778e+003, 8.483077e-003
1.463706e+003, 8.699409e-003
1.465635e+003, 8.738047e-003
1.467563e+003, 8.845635e-003
1.469492e+003, 8.887177e-003
1.471420e+003, 8.809562e-003
1.473349e+003, 8.685307e-003
1.475277e+003, 8.584455e-003
1.477205e+003, 8.507879e-003
1.479134e+003, 8.502597e-003
1.481062e+003, 8.411352e-003
1.482991e+003, 8.572221e-003
1.484919e+003, 8.381116e-003
1.486848e+003, 8.481695e-003
1.488776e+003, 8.816906e-003
1.490705e+003, 8.746766e-003
1.492633e+003, 8.569871e-003
1.494562e+003, 8.806541e-003
1.496490e+003, 9.092847e-003
1.498419e+003, 9.017921e-003
1.500347e+003, 9.014506e-003
1.502276e+003, 9.427098e-003
1.504204e+003, 9.367147e-003
1.506132e+003, 9.337190e-003
1.508061e+003, 9.256496e-003
1.509989e+003, 9.117386e-003
1.511918e+003, 9.313654e-003
1.513846e+003, 9.615644e-003
1.515775e+003, 9.820106e-003
1.517703e+003, 1.010870e-002
1.519632e+003, 1.027853e-002
1.521560e+003, 1.021774e-002
1.523489e+003, 1.019798e-002
1.525417e+003, 1.037434e-002
1.527346e+003, 1.064346e-002
1.529274e+003, 1.096890e-002
1.531203e+003, 1.104313e-002
1.533131e+003, 1.142406e-002
1.535059e+003, 1.168208e-002
1.536988e+003, 1.207961e-002
1.538916e+003, 1.281921e-002
1.540845e+003, 1.311579e-002
1.542773e+003, 1.315295e-002
1.544702e+003, 1.333430e-002
1.546630e+003, 1.338796e-002
1.548559e+003, 1.354490e-002
1.550487e+003, 1.391028e-002
1.552416e+003, 1.440472e-002
1.554344e+003, 1.476500e-002
1.556273e+003, 1.503889e-002
1.558201e+003, 1.532829e-002
1.560130e+003, 1.572830e-002
1.562058e+003, 1.628006e-002
1.563986e+003, 1.707317e-002
1.565915e+003, 1.779046e-002
1.567843e+003, 1.809292e-002
1.569772e+003, 1.832261e-002
1.571700e+003, 1.887081e-002
1.573629e+003, 1.932362e-002
1.575557e+003, 1.961516e-002
1.577486e+003, 2.007112e-002
1.579414e+003, 2.091093e-002
1.581343e+003, 2.149643e-002
1.583271e+003, 2.166133e-002
1.585200e+003, 2.185225e-002
1.587128e+003, 2.184854e-002
1.589057e+003, 2.153165e-002
1.590985e+003, 2.145641e-002
1.592913e+003, 2.126598e-002
1.594842e+003, 2.099654e-002
