##NAMES=Margarosanite
##RRUFFID=R120111
##IDEAL CHEMISTRY=Ca_2_Pb^2+^Si_3_O_9_
##LOCALITY=Parker shaft, Franklin, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Caltech  
##DESCRIPTION=Pearly, colorless cleavages
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120111
1.178293e+003, 6.511936e-003
1.180222e+003, 6.242812e-003
1.182150e+003, 6.016322e-003
1.184078e+003, 6.267980e-003
1.186007e+003, 6.477361e-003
1.187935e+003, 6.245008e-003
1.189864e+003, 6.172589e-003
1.191792e+003, 6.372536e-003
1.193721e+003, 6.689464e-003
1.195649e+003, 6.492674e-003
1.197578e+003, 6.150165e-003
1.199506e+003, 5.984027e-003
1.201435e+003, 6.230762e-003
1.203363e+003, 6.283698e-003
1.205292e+003, 6.204409e-003
1.207220e+003, 6.257567e-003
1.209149e+003, 6.014907e-003
1.211077e+003, 5.790064e-003
1.213005e+003, 5.738860e-003
1.214934e+003, 5.912383e-003
1.216862e+003, 6.069022e-003
1.218791e+003, 6.237489e-003
1.220719e+003, 6.481347e-003
1.222648e+003, 6.382226e-003
1.224576e+003, 6.096249e-003
1.226505e+003, 6.084310e-003
1.228433e+003, 6.138836e-003
1.230362e+003, 5.921049e-003
1.232290e+003, 5.804671e-003
1.234219e+003, 6.031251e-003
1.236147e+003, 5.820354e-003
1.238076e+003, 5.606042e-003
1.240004e+003, 5.701220e-003
1.241932e+003, 6.100742e-003
1.243861e+003, 6.534880e-003
1.245789e+003, 6.593563e-003
1.247718e+003, 6.308816e-003
1.249646e+003, 6.237766e-003
1.251575e+003, 6.247560e-003
1.253503e+003, 6.197782e-003
1.255432e+003, 6.200375e-003
1.257360e+003, 6.277156e-003
1.259289e+003, 6.382096e-003
1.261217e+003, 6.400621e-003
1.263146e+003, 6.008448e-003
1.265074e+003, 5.993508e-003
1.267003e+003, 6.489322e-003
1.268931e+003, 6.599016e-003
1.270859e+003, 6.529017e-003
1.272788e+003, 6.602898e-003
1.274716e+003, 6.693524e-003
1.276645e+003, 6.674408e-003
1.278573e+003, 6.511164e-003
1.280502e+003, 6.573917e-003
1.282430e+003, 6.512578e-003
1.284359e+003, 6.752599e-003
1.286287e+003, 6.867445e-003
1.288216e+003, 6.848358e-003
1.290144e+003, 6.947935e-003
1.292073e+003, 7.085555e-003
1.294001e+003, 7.068082e-003
1.295930e+003, 7.275148e-003
1.297858e+003, 7.303356e-003
1.299786e+003, 7.303867e-003
1.301715e+003, 7.291591e-003
1.303643e+003, 7.050461e-003
1.305572e+003, 7.155071e-003
1.307500e+003, 7.383510e-003
1.309429e+003, 7.676878e-003
1.311357e+003, 8.086102e-003
1.313286e+003, 8.092962e-003
1.315214e+003, 7.969740e-003
1.317143e+003, 7.967353e-003
1.319071e+003, 8.114739e-003
1.321000e+003, 8.067072e-003
1.322928e+003, 8.356536e-003
1.324857e+003, 8.761303e-003
1.326785e+003, 8.776331e-003
1.328714e+003, 8.467194e-003
1.330642e+003, 8.435280e-003
1.332570e+003, 8.510635e-003
1.334499e+003, 8.562172e-003
1.336427e+003, 8.611667e-003
1.338356e+003, 8.500109e-003
1.340284e+003, 8.280238e-003
1.342213e+003, 8.587833e-003
1.344141e+003, 9.014876e-003
1.346070e+003, 9.525039e-003
1.347998e+003, 9.888857e-003
1.349927e+003, 9.803343e-003
1.351855e+003, 9.503152e-003
1.353784e+003, 9.529292e-003
1.355712e+003, 9.628429e-003
1.357641e+003, 9.572991e-003
1.359569e+003, 9.849777e-003
1.361497e+003, 9.952239e-003
1.363426e+003, 9.711915e-003
1.365354e+003, 9.681366e-003
1.367283e+003, 9.994437e-003
1.369211e+003, 1.044691e-002
1.371140e+003, 1.069540e-002
1.373068e+003, 1.037504e-002
1.374997e+003, 1.023535e-002
1.376925e+003, 1.078665e-002
1.378854e+003, 1.072184e-002
1.380782e+003, 1.054786e-002
1.382711e+003, 1.056646e-002
1.384639e+003, 1.050061e-002
1.386568e+003, 1.050401e-002
1.388496e+003, 1.083734e-002
1.390424e+003, 1.106749e-002
1.392353e+003, 1.064780e-002
1.394281e+003, 1.031776e-002
1.396210e+003, 1.020344e-002
1.398138e+003, 1.040384e-002
1.400067e+003, 1.067110e-002
1.401995e+003, 1.103763e-002
1.403924e+003, 1.097173e-002
1.405852e+003, 1.094606e-002
1.407781e+003, 1.097608e-002
1.409709e+003, 1.101841e-002
1.411638e+003, 1.104915e-002
1.413566e+003, 1.113097e-002
1.415495e+003, 1.145657e-002
1.417423e+003, 1.114001e-002
1.419351e+003, 1.052199e-002
1.421280e+003, 1.076449e-002
1.423208e+003, 1.101240e-002
1.425137e+003, 1.110592e-002
1.427065e+003, 1.127222e-002
1.428994e+003, 1.127420e-002
1.430922e+003, 1.127358e-002
1.432851e+003, 1.147628e-002
1.434779e+003, 1.132284e-002
1.436708e+003, 1.064658e-002
1.438636e+003, 1.122432e-002
1.440565e+003, 1.176681e-002
1.442493e+003, 1.175578e-002
1.444422e+003, 1.202069e-002
1.446350e+003, 1.187023e-002
1.448278e+003, 1.198285e-002
1.450207e+003, 1.206198e-002
1.452135e+003, 1.185358e-002
1.454064e+003, 1.163333e-002
1.455992e+003, 1.052180e-002
1.457921e+003, 1.049777e-002
1.459849e+003, 1.150374e-002
1.461778e+003, 1.182288e-002
1.463706e+003, 1.141123e-002
1.465635e+003, 1.153667e-002
1.467563e+003, 1.180671e-002
1.469492e+003, 1.160100e-002
1.471420e+003, 1.110103e-002
