##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
1583.271, 8.5254237E-03
1585.200, 8.6201541E-03
1587.128, 8.6021544E-03
1589.057, 8.5304026E-03
1590.985, 8.5557522E-03
1592.913, 8.6949179E-03
1594.842, 8.9291064E-03
1596.770, 9.0078115E-03
1598.699, 8.8495091E-03
1600.627, 8.5912291E-03
1602.556, 8.5910419E-03
1604.484, 8.8555804E-03
1606.413, 8.7861763E-03
1608.341, 8.6815702E-03
1610.270, 8.9440364E-03
1612.198, 9.1489628E-03
1614.127, 8.8946624E-03
1616.055, 9.1206692E-03
1617.984, 9.0370579E-03
1619.912, 8.7983748E-03
1621.840, 8.7855598E-03
1623.769, 8.7915389E-03
1625.697, 8.8303965E-03
1627.626, 8.9191310E-03
1629.554, 8.9972299E-03
1631.483, 9.0153236E-03
1633.411, 9.2914421E-03
1635.340, 9.3643414E-03
1637.268, 8.8377679E-03
1639.197, 8.6599626E-03
1641.125, 8.8883182E-03
1643.054, 8.8565936E-03
1644.982, 9.0598883E-03
1646.911, 9.2077469E-03
1648.839, 8.9613535E-03
1650.767, 9.0377452E-03
1652.696, 9.7191799E-03
1654.624, 9.5098792E-03
1656.553, 8.6425440E-03
1658.481, 8.1755212E-03
1660.410, 8.3573218E-03
1662.338, 8.7478217E-03
1664.267, 8.7485369E-03
1666.195, 8.6809490E-03
1668.124, 8.6191194E-03
1670.052, 8.6388271E-03
1671.981, 8.5965525E-03
1673.909, 8.6459816E-03
1675.838, 8.6615048E-03
1677.766, 8.4250541E-03
1679.694, 8.2772775E-03
1681.623, 8.6496826E-03
1683.551, 9.0459175E-03
1685.480, 8.6292289E-03
1687.408, 8.3817365E-03
1689.337, 8.3515150E-03
1691.265, 8.3385464E-03
1693.194, 8.6111054E-03
1695.122, 8.7245731E-03
1697.051, 8.5954471E-03
1698.979, 8.6926464E-03
1700.908, 8.7008588E-03
1702.836, 8.1602344E-03
1704.765, 8.1309266E-03
1706.693, 8.1692263E-03
1708.621, 8.2319807E-03
1710.550, 8.2365144E-03
1712.478, 8.2654217E-03
1714.407, 8.4674656E-03
1716.335, 8.3759930E-03
1718.264, 8.2019893E-03
1720.192, 7.9720812E-03
1722.121, 7.9843625E-03
1724.049, 7.8264615E-03
1725.978, 7.6697809E-03
1727.906, 7.5955852E-03
1729.835, 7.6957229E-03
1731.763, 7.4679912E-03
1733.692, 7.2881812E-03
1735.620, 6.6470830E-03
1737.548, 6.1391662E-03
1739.477, 6.0007279E-03
1741.405, 5.7332059E-03
1743.334, 5.0620232E-03
1745.262, 4.4558500E-03
1747.191, 4.7488478E-03
1749.119, 5.5042119E-03
1751.048, 5.9287180E-03
1752.976, 6.1833118E-03
1754.905, 6.5262639E-03
1756.833, 6.9059338E-03
1758.762, 6.6061462E-03
1760.690, 6.8944292E-03
1762.619, 7.8648794E-03
1764.547, 8.1180157E-03
1766.475, 8.0388123E-03
1768.404, 8.2861297E-03
1770.332, 8.2483254E-03
1772.261, 8.4159840E-03
1774.189, 8.5216658E-03
1776.118, 8.0724647E-03
1778.046, 7.6915012E-03
1779.975, 7.8975763E-03
1781.903, 7.8535844E-03
1783.832, 7.5714770E-03
1785.760, 7.5063519E-03
1787.689, 7.5378441E-03
1789.617, 8.1913453E-03
1791.546, 8.9622391E-03
1793.474, 8.5909804E-03
1795.402, 7.8548500E-03
1797.331, 7.8014480E-03
1799.259, 7.5928341E-03
1801.188, 7.5571011E-03
1803.116, 8.1003327E-03
1805.045, 8.3084414E-03
1806.973, 7.6767150E-03
1808.902, 7.4637788E-03
1810.830, 7.9171956E-03
1812.759, 7.7882772E-03
1814.687, 7.5270468E-03
1816.616, 7.4926908E-03
1818.544, 7.5936601E-03
1820.473, 8.2057910E-03
1822.401, 8.4533868E-03
1824.329, 8.0494890E-03
1826.258, 7.3572169E-03
1828.186, 7.1401461E-03
1830.115, 7.7101840E-03
1832.043, 7.6690912E-03
1833.972, 7.5665470E-03
1835.900, 7.9598920E-03
1837.829, 7.9818452E-03
1839.757, 8.0506867E-03
1841.686, 7.6795109E-03
1843.614, 7.5979428E-03
1845.543, 7.6170629E-03
1847.471, 7.8640338E-03
1849.400, 7.8062168E-03
1851.328, 7.7534108E-03
1853.256, 7.7430112E-03
1855.185, 7.7951341E-03
1857.113, 8.8318652E-03
1859.042, 8.7350504E-03
1860.970, 7.4297851E-03
1862.899, 7.2869919E-03
1864.827, 7.3253349E-03
1866.756, 7.2567682E-03
1868.684, 7.3487330E-03
1870.613, 7.9191029E-03
1872.541, 7.7490392E-03
1874.470, 7.7499342E-03
1876.398, 7.5855670E-03
1878.327, 7.5328699E-03
1880.255, 7.9029910E-03
1882.183, 8.4053781E-03
1884.112, 8.8715898E-03
1886.040, 9.0835448E-03
1887.969, 8.3606197E-03
1889.897, 8.1932470E-03
1891.826, 8.1172800E-03
1893.754, 7.3842611E-03
1895.683, 7.2858832E-03
1897.611, 7.1815932E-03
1899.540, 6.8343752E-03
1901.468, 6.8591661E-03
1903.397, 7.4932622E-03
1905.325, 7.7422708E-03
1907.254, 7.7558481E-03
1909.182, 8.1436448E-03
1911.110, 7.0257471E-03
1913.039, 6.5927622E-03
1914.967, 6.9336449E-03
1916.896, 6.9839242E-03
1918.824, 7.4092699E-03
1920.753, 6.9667860E-03
1922.681, 6.7537860E-03
1924.610, 7.7218320E-03
1926.538, 8.1688799E-03
1928.467, 7.1746828E-03
1930.395, 5.9002740E-03
1932.324, 6.0923360E-03
1934.252, 5.9539508E-03
1936.181, 6.4319302E-03
1938.109, 7.6722340E-03
1940.037, 7.3391749E-03
1941.966, 5.8436301E-03
1943.894, 5.9534698E-03
1945.823, 5.4728058E-03
1947.751, 4.7980868E-03
1949.680, 4.2576049E-03
1951.608, 4.1200188E-03
1953.537, 4.0254239E-03
1955.465, 3.3211380E-03
1957.394, 1.5882590E-03
1959.322, 1.0134890E-03
1961.251, 2.1609929E-03
1963.179, 9.6755329E-04
1965.108, 1.4086870E-03
1967.036, 2.1822650E-03
1968.964, 5.8814278E-04
1970.893, 1.5548540E-03
1972.821, 3.0375831E-03
1974.750, 1.0830510E-03
1976.678, 4.3762039E-04
1978.607, 2.3307081E-03
1980.535, 4.7190189E-03
1982.464, 4.2420570E-03
1984.392, 4.7313171E-03
1986.321, 5.1861680E-03
1988.249, 3.4983200E-03
1990.178, 3.5875260E-03
1992.106, 4.0276400E-03
1994.035, 2.1124010E-03
1995.963, 2.2993630E-03
1997.891, 4.2323610E-03
1999.820, 3.4880079E-03
2001.748, 1.2672860E-03
2003.677, 7.7012637E-06
2005.605, -9.1810699E-04
2007.534, 8.2108198E-04
2009.462, 3.9698221E-03
2011.391, 3.5680800E-03
2013.319, 3.7158359E-04
2015.248, 1.6645039E-03
2017.176, 2.9447109E-03
2019.105, 2.2521040E-03
2021.033, -4.2452230E-04
2022.962, -1.7406240E-03
2024.890, -1.6573070E-03
2026.818, 4.9925002E-04
2028.747, 1.9914401E-03
2030.675, 1.2086510E-03
2032.604, 1.4660440E-03
2034.532, 2.6127140E-03
2036.461, 4.1931090E-03
2038.389, 2.6123831E-03
2040.318, 2.8721399E-03
2042.246, 3.2493330E-03
2044.175, 1.6415740E-03
2046.103, 1.5920470E-03
2048.032, 3.1596499E-03
2049.960, 4.9665351E-03
2051.889, 4.6331240E-03
2053.817, 5.2479370E-03
2055.746, 6.7020119E-03
2057.674, 7.2211698E-03
2059.603, 6.3167778E-03
2061.531, 4.2341598E-03
2063.459, 3.9806901E-03
2065.388, 4.5249332E-03
2067.316, 5.6102611E-03
2069.245, 6.0507338E-03
2071.173, 5.7791579E-03
2073.102, 6.8621370E-03
2075.030, 7.4270922E-03
2076.959, 6.6569801E-03
2078.887, 6.3806400E-03
2080.816, 7.3181600E-03
2082.744, 7.7746902E-03
2084.673, 9.5755747E-03
2086.601, 9.6823294E-03
2088.530, 8.5883606E-03
2090.458, 8.2138861E-03
2092.386, 6.9123479E-03
2094.315, 6.3966140E-03
2096.243, 6.1463928E-03
2098.172, 5.3781271E-03
2100.100, 5.6084869E-03
2102.029, 6.2407032E-03
2103.957, 6.0337051E-03
2105.886, 5.6941472E-03
2107.814, 6.9362922E-03
2109.743, 8.1021143E-03
2111.671, 7.5415899E-03
2113.600, 7.3061739E-03
2115.528, 7.8181708E-03
2117.457, 7.2601028E-03
2119.385, 6.7945910E-03
2121.313, 7.6325098E-03
2123.242, 7.1262210E-03
2125.170, 6.2487209E-03
2127.099, 6.2665250E-03
2129.027, 6.6646230E-03
2130.956, 5.9061032E-03
2132.884, 4.7272160E-03
2134.813, 3.7034310E-03
2136.741, 2.5595780E-03
2138.670, 3.2391089E-03
2140.598, 2.9736699E-03
2142.527, 1.9380000E-03
2144.455, 1.5932660E-03
2146.384, 6.2085659E-04
2148.312, -1.0641140E-04
2150.240, -6.7111469E-05
2152.169, -8.7493332E-05
2154.097, 8.8888517E-04
2156.026, 1.0876301E-03
2157.954, 1.0168060E-03
2159.883, 3.7543231E-03
2161.811, 6.0825278E-03
