##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
1025.944, 0.1424085
1027.873, 0.1420505
1029.801, 0.1411369
1031.730, 0.1395162
1033.658, 0.1369763
1035.587, 0.1333568
1037.515, 0.1286736
1039.444, 0.1237010
1041.372, 0.1184078
1043.301, 0.1126104
1045.229, 0.1069311
1047.157, 0.1018103
1049.086, 9.6866779E-02
1051.014, 9.2666641E-02
1052.943, 8.9075036E-02
1054.871, 8.5889533E-02
1056.800, 8.3206080E-02
1058.728, 8.1255093E-02
1060.657, 8.0067873E-02
1062.585, 7.9372898E-02
1064.514, 7.8627758E-02
1066.442, 7.7797361E-02
1068.371, 7.6983571E-02
1070.299, 7.6211683E-02
1072.228, 7.5557567E-02
1074.156, 7.5259909E-02
1076.084, 7.4711092E-02
1078.013, 7.4158013E-02
1079.941, 7.3535308E-02
1081.870, 7.2598912E-02
1083.798, 7.1453989E-02
1085.727, 7.0092507E-02
1087.655, 6.8708621E-02
1089.584, 6.7538813E-02
1091.512, 6.6258602E-02
1093.441, 6.4596772E-02
1095.369, 6.3126050E-02
1097.298, 6.1827108E-02
1099.226, 6.0398068E-02
1101.155, 5.8900230E-02
1103.083, 5.7426039E-02
1105.011, 5.5834379E-02
1106.940, 5.4415639E-02
1108.868, 5.3150602E-02
1110.797, 5.2040301E-02
1112.725, 5.1062848E-02
1114.654, 4.9485009E-02
1116.582, 4.7636431E-02
1118.511, 4.5878500E-02
1120.439, 4.4157490E-02
1122.368, 4.2348862E-02
1124.296, 4.0378261E-02
1126.225, 3.8504191E-02
1128.153, 3.6715370E-02
1130.082, 3.5224881E-02
1132.010, 3.3914641E-02
1133.938, 3.2081351E-02
1135.867, 3.0445481E-02
1137.795, 2.9318679E-02
1139.724, 2.8434290E-02
1141.652, 2.7326690E-02
1143.581, 2.6253721E-02
1145.509, 2.5259711E-02
1147.438, 2.4487751E-02
1149.366, 2.3907989E-02
1151.295, 2.3265930E-02
1153.223, 2.2870719E-02
1155.152, 2.2505570E-02
1157.080, 2.2075061E-02
1159.009, 2.1770760E-02
1160.937, 2.1518029E-02
1162.865, 2.1245250E-02
1164.794, 2.0830300E-02
1166.722, 2.0457691E-02
1168.651, 2.0171680E-02
1170.579, 1.9801620E-02
1172.508, 1.9373041E-02
1174.436, 1.8924581E-02
1176.365, 1.8513519E-02
1178.293, 1.8266121E-02
