id, formula, natoms, volume, mass, density, energy_per_tsite, n_tsites, relative_energy, iza_code
96, O224Si112, 336, 6443.081686747138, 6729.295999999999, 17.382986192829794, -31.683380126953125, 112, 10.893172882043585, ITR
97, O92Si46, 138, 3586.6772747627324, 2763.818, 12.825240877865994, -31.636697520380434, 46, 15.39735971703243, ITT
98, O48Si24, 72, 1347.756985517578, 1441.9920000000002, 17.807364575286027, -31.67529551188151, 24, 11.673219658455071, ITW
99, O112Si56, 168, 3571.398250399419, 3364.648, 15.680133122576587, -31.66695295061384, 56, 12.478154459458977, IWR
100, O272Si136, 408, 9170.200758788078, 8171.287999999999, 14.830645868866844, -31.646588493795957, 136, 14.443025854503766, IWS
101, O304Si152, 456, 9641.374240694486, 9132.615999999998, 15.765387402807752, -31.6724853515625, 152, 11.944358912288093, IWV
102, O224Si112, 336, 6799.175130790459, 6729.295999999999, 16.47258643078651, -31.667497907366073, 112, 12.425574125813243, IWW
103, O12Si6, 18, 313.2513234470092, 360.498, 19.153949403872137, -31.695101420084637, 6, 9.762240012436342, JBW
104, O64Si32, 96, 1593.5978549528381, 1922.6560000000002, 20.080348314065112, -31.641281127929688, 32, 14.955108816839942, JNT
105, O40Si20, 60, 1221.1882550013302, 1201.6600000000003, 16.377491282028597, -31.604864501953124, 20, 18.468779096646166, JOZ
106, O48Si24, 72, 1285.531522513281, 1441.9920000000002, 18.66932049482439, -31.67937469482422, 24, 11.27963833433936, JRY
107, O32Si16, 48, 900.3258613593425, 961.328, 17.771343339891022, -31.656654357910156, 16, 13.471817604695206, JSN
108, O192Si96, 288, 7910.530101727393, 5767.968000000001, 12.135722734818598, -31.504112243652344, 96, 28.189894277460407, JSR
109, O96Si48, 144, 2783.9727315103746, 2883.9840000000004, 17.241548186414455, -31.491297403971355, 48, 29.426338349916428, JST
110, O96Si48, 144, 2622.150282352385, 2883.9840000000004, 18.30558695397817, -31.668619791666668, 48, 12.317328745614695, JSW
111, O192Si96, 288, 6333.388149544537, 5767.968000000001, 15.157763543499826, -31.6635004679362, 96, 12.811268399882248, KFI
112, O48Si24, 72, 1350.231256022813, 1441.9920000000002, 17.774732952556167, -31.6802241007487, 24, 11.197683120963507, LAU
113, O108Si54, 162, 3353.2492110431426, 3244.482, 16.103783703926215, -31.671382197627313, 54, 12.05079708694524, LEV
114, O72Si36, 108, 2090.6364647395753, 2162.9880000000003, 17.219636511259463, -31.67575412326389, 36, 11.628970386562656, LIO
115, O48Si24, 72, 1398.4403831625236, 1441.9920000000002, 17.161975790290644, -31.675771077473957, 24, 11.627334553960498, LOS
116, O36Si18, 54, 1066.4364984172264, 1081.4940000000001, 16.878642119540235, -31.638092041015625, 18, 15.262808929334485, LOV
117, O48Si24, 72, 1660.481213127562, 1441.9920000000002, 14.453641396396977, -31.648223876953125, 24, 14.285235366193932, LTA
118, O216Si108, 324, 6321.8445863522165, 6488.964, 17.083621484962407, -31.66576244212963, 108, 12.59302106685747, LTF
119, O32Si16, 48, 858.8583700320237, 961.328, 18.62938123244164, -31.66866683959961, 16, 12.3127893101434, LTJ
120, O72Si36, 108, 2126.68173313622, 2162.9880000000003, 16.92777976087224, -31.67121039496528, 36, 12.067373523981741, LTL
121, O1536Si768, 2304, 45583.36374097199, 46143.744000000006, 16.848252015015152, -31.675404866536457, 768, 11.662668538170399, LTN
122, O144Si72, 216, 4175.904117574621, 4325.976, 17.24177518755336, -31.67739529079861, 72, 11.47062179065911, MAR
123, O72Si36, 108, 2135.564657768221, 2162.9880000000003, 16.857368316640866, -31.663950602213543, 36, 12.767837044290914, MAZ
124, O68Si34, 102, 2325.2573319703847, 2042.8220000000003, 14.622037540760687, -31.653417250689337, 34, 13.784150972472293, MEI
125, O192Si96, 288, 5442.089699700439, 5767.968000000001, 17.64028255640188, -31.69024149576823, 96, 10.231151427888548, MEL
126, O92Si46, 138, 2486.236030691598, 2763.818, 18.501863633278674, -31.673509680706523, 46, 11.845526173845762, MEP
127, O64Si32, 96, 1948.0814581935108, 1922.6560000000002, 16.42641783043002, -31.666976928710938, 32, 12.475840924778664, MER
128, O192Si96, 288, 5278.603131407241, 5767.968000000001, 18.18662960827802, -31.695393880208332, 96, 9.73402190004672, MFI
129, O72Si36, 108, 2017.7944385245794, 2162.9880000000003, 17.841262376718298, -31.68767632378472, 36, 10.478652900618266, MFS
130, O32Si16, 48, 892.8278173158566, 961.328, 17.920588594675994, -31.6704158782959, 16, 12.144032729307577, MON
131, O96Si48, 144, 2767.458015912342, 2883.9840000000004, 17.344436563810323, -31.68414052327474, 48, 10.819805789830088, MOR
132, O216Si108, 324, 6292.485254111126, 6488.964, 17.163329851180723, -31.670787669994212, 108, 12.108160283532852, MOZ
133, O96Si48, 144, 2489.9218151563277, 2883.9840000000004, 19.27771374499418, -31.708770751953125, 48, 8.443349976823889, MRE
134, O48Si24, 72, 1386.888983167083, 1441.9920000000002, 17.30491790712324, -31.672068277994793, 24, 11.98460039430481, MRT
135, O224Si112, 336, 6812.021029075395, 6729.295999999999, 16.441522937459563, -31.670989990234375, 112, 12.08863934781185, MSE
136, O180Si90, 270, 4990.2054369014395, 5407.47, 18.03532963482232, -31.698014322916666, 90, 9.48118761303357, MSO
137, O88Si44, 132, 2155.053015661763, 2643.652, 20.417131124028845, -31.723699396306817, 44, 7.002954756873523, MTF
138, O272Si136, 408, 7073.428418061487, 8171.287999999999, 19.226885742242597, -31.704054888556986, 136, 8.8983616264288, MTN
139, O48Si24, 72, 1290.3522322659967, 1441.9920000000002, 18.599572581707733, -31.6888427734375, 24, 10.366107617579251, MTT
140, O56Si28, 84, 1510.0800829229831, 1682.3240000000003, 18.542062978409636, -31.692988804408483, 28, 9.96607643920284, MTW
141, O24Si12, 36, 572.0754750444943, 720.9960000000001, 20.976253175451504, -31.591410319010418, 12, 19.766910416535165, MVY
142, O2880Si1440, 4320, 88878.7337551493, 86519.51999999999, 16.201850984590248, -31.6665771484375, 1440, 12.51441385754107, MWF
143, O144Si72, 216, 4352.113534231668, 4325.976, 16.54368605820644, -31.678297254774307, 72, 11.383595496216019, MWW
144, O20Si10, 30, 623.7987825927207, 600.83, 16.030810381573023, -31.611004638671876, 10, 17.876345961393312, NAB
145, O40Si20, 60, 1221.417400269844, 1201.6600000000003, 16.374418765920204, -31.62293701171875, 20, 16.72504697588742, NAT
146, O272Si136, 408, 7647.70773487048, 8171.287999999999, 17.783106352233435, -31.684139476102942, 136, 10.819906826549449, NES
147, O176Si88, 264, 4874.24514395978, 5287.304, 18.054077585541755, -31.67580621892756, 88, 11.623943919111804, NON
148, O12Si6, 18, 302.0813751694227, 360.498, 19.862197716211046, -31.65618387858073, 6, 13.517211959409199, NPO
149, O72Si36, 108, 2688.8844538783715, 2162.9880000000003, 13.388451834765384, -31.555633544921875, 36, 23.218844373930178, NPT
150, O24Si12, 36, 626.1252732627968, 720.9960000000001, 19.165493731736603, -31.683156331380207, 12, 10.914765872394193, NSI
151, O152Si76, 228, 6045.5692768972185, 4566.308, 12.571189993708195, -31.51964047080592, 76, 26.691648111472425, OBW
152, O36Si18, 54, 1107.4721972856353, 1081.4940000000001, 16.253229692011406, -31.66956244574653, 18, 12.226376452926289, OFF
153, O136Si68, 204, 3879.793226454018, 4085.6440000000002, 17.52670723180508, -31.66815185546875, 68, 12.36247772543857, OKO
154, O64Si32, 96, 1788.324323072536, 1922.6560000000002, 17.893845980364745, -31.68023681640625, 32, 11.19645624651189, OSI
155, O18Si9, 27, 692.4576289706674, 540.747, 12.997185132292392, -31.453348795572918, 9, 33.08782246366726, OSO
156, O32Si16, 48, 925.0415854006172, 961.328, 17.29651969437754, -31.67194938659668, 16, 11.996071670428623, OWE
157, O1344Si672, 2016, 41833.32409837397, 40375.776, 16.06374856608921, -31.666843959263392, 672, 12.48867052618826, PAU
158, O120Si60, 180, 3135.3282614938094, 3604.98, 19.136752198129756, -31.6947265625, 60, 9.798408271273397, PCR
159, O128Si64, 192, 3484.4616183664803, 3845.312, 18.367256411337163, -31.680084228515625, 64, 11.21117873993268, PCS
160, O64Si32, 96, 1943.1249992333444, 1922.6560000000002, 16.468317793567333, -31.666746139526367, 32, 12.498108696077612, PHI
161, O48Si24, 72, 1325.8544625170446, 1441.9920000000002, 18.101534277327566, -31.66663869222005, 24, 12.508475785194866, PON
162, O128Si64, 192, 3653.0853199501294, 3845.312, 17.519437515046516, -31.65221405029297, 64, 13.900242163240236, POR
163, O128Si64, 192, 4094.2246678386527, 3845.312, 15.631775291360768, -31.66204833984375, 64, 12.951377462270228, POS
164, O288Si144, 432, 7186.7409806862, 8651.952, 20.036898559025385, -31.70855712890625, 144, 8.463961467612998, PSI
165, O20Si10, 30, 581.6834893553158, 600.83, 17.19147987350144, -31.658511352539062, 10, 13.292644859764243, PTY
166, O72Si36, 108, 2416.678808522371, 2162.9880000000003, 14.896476881018154, -31.592403835720486, 36, 19.67105062603994, PUN
167, O480Si240, 720, 15256.18237713014, 14419.919999999998, 15.731327409914373, -31.667317708333332, 240, 12.442960689472345, PWN
168, O40Si20, 60, 1162.4494318284972, 1201.6600000000003, 17.20504948635969, -31.653506469726562, 20, 13.775542643966201, PWO
169, O80Si40, 120, 2302.396782086998, 2403.3199999999997, 17.373200097918033, -31.664984130859374, 40, 12.668116688854338, PWW
170, O96Si48, 144, 3304.4459877399536, 2883.9840000000004, 14.525884271701827, -31.6680908203125, 48, 12.368366722806886, RHO
171, O36Si18, 54, 1013.7759972335726, 1081.4940000000001, 17.755401636179027, -31.648386637369793, 18, 14.26953137321164, RRO
172, O72Si36, 108, 2134.2510488641838, 2162.9880000000003, 16.86774384820317, -31.634168836805557, 36, 15.641340593508902, RSN
173, O48Si24, 72, 1395.3741663572168, 1441.9920000000002, 17.199687781704267, -31.68678029378255, 24, 10.565106653650396, RTE
174, O64Si32, 96, 1966.5938520685734, 1922.6560000000002, 16.271788893441627, -31.673593521118164, 32, 11.837436803819596, RTH
175, O72Si36, 108, 1998.2693327577063, 2162.9880000000003, 18.01558949529506, -31.69091118706597, 36, 10.166536040097489, RUT
176, O64Si32, 96, 1653.2182385852652, 1922.6560000000002, 19.356186166554675, -31.675392150878906, 32, 11.663895412622017, RWR
177, O96Si48, 144, 6107.2386471930195, 2883.9840000000004, 7.859525846768987, -31.163976033528645, 48, 61.00804973663706, RWY
178, O128Si64, 192, 3396.4261920824883, 3845.312, 18.84333601866348, -31.702964782714844, 64, 9.003540851485004, SAF
179, O112Si56, 168, 3994.6152607805457, 3364.648, 14.018871992457575, -31.642656598772323, 56, 14.82239605471809, SAO
180, O64Si32, 96, 2038.9279268938542, 1922.6560000000002, 15.694522389886275, -31.679716110229492, 32, 11.246696755310339, SAS
181, O144Si72, 216, 4342.870596532275, 4325.976, 16.578896008895832, -31.669413248697918, 72, 12.24077177982658, SAT
182, O96Si48, 144, 3149.2417190417964, 2883.9840000000004, 15.241764298297404, -31.661956787109375, 48, 12.960210958322703, SAV
183, O256Si128, 384, 9280.88863702483, 7690.624, 13.791782770602547, -31.652254104614258, 128, 13.89637750871728, SBE
184, O20Si10, 30, 619.591584680572, 600.83, 16.13966400972902, -31.625640869140625, 10, 16.464164392471066, SBN
185, O192Si96, 288, 6960.4436773494745, 5767.968000000001, 13.792224238865854, -31.64854685465495, 96, 14.25407275511981, SBS
186, O288Si144, 432, 10447.920211940855, 8651.952, 13.782647367025584, -31.648373074001736, 144, 14.270840039293642, SBT
187, O132Si66, 198, 4053.920919016064, 3965.478, 16.280534652367862, -31.67623254024621, 66, 11.582810164766702, SEW
188, O28Si14, 42, 812.8988228407605, 841.162, 17.222315504253686, -31.672108241489955, 14, 11.980744503170955, SFE
189, O64Si32, 96, 1839.0488137974642, 1922.6560000000002, 17.400299415610935, -31.679912567138672, 32, 11.227741545031071, SFF
190, O148Si74, 222, 4166.4052777443785, 4446.142, 17.76111421404073, -31.690479175464528, 74, 10.208218823271851, SFG
191, O128Si64, 192, 3837.300062192899, 3845.312, 16.67839339189596, -31.675827026367188, 64, 11.621936306372762, SFH
192, O64Si32, 96, 1920.4682977031011, 1922.6560000000002, 16.662602573691174, -31.675579071044922, 32, 11.645860358181547, SFN
193, O64Si32, 96, 2095.5966548199226, 1922.6560000000002, 15.270114087269242, -31.654701232910156, 32, 13.660265520481335, SFO
194, O112Si56, 168, 3347.8931281159494, 3364.648, 16.72693776563722, -31.68420628138951, 56, 10.813461096236582, SFS
195, O1568Si784, 2352, 44571.367585892825, 47105.072, 17.58976765721099, -31.690594108737244, 784, 10.197129448194579, SFV
196, O216Si108, 324, 7093.175884457482, 6488.964, 15.225901875159877, -31.664067021122687, 108, 12.756604327088333, SFW
197, O128Si64, 192, 3610.1526461889207, 3845.312, 17.727782249751126, -31.68991470336914, 64, 10.262682101298191, SGT
198, O128Si64, 192, 3862.9574467008347, 3845.312, 16.567617138692352, -31.667057037353516, 64, 12.468111615732749, SIV
199, O24Si12, 36, 707.0471275853622, 720.9960000000001, 16.971994555697044, -31.675796508789062, 12, 11.62488080505692, SOD
200, O80Si40, 120, 2421.3019545274874, 2403.3199999999997, 16.520037876814882, -31.647705078125, 40, 14.335291843824622, SOF
201, O96Si48, 144, 2774.2445083628354, 2883.9840000000004, 17.302007755735357, -31.67609151204427, 48, 11.596417317776837, SOR
202, O48Si24, 72, 1416.9673183498858, 1441.9920000000002, 16.937581897053875, -31.543983459472656, 24, 24.342906746607603, SOS
203, O256Si128, 384, 8315.063257805721, 7690.624, 15.393749395693495, -31.655929565429688, 128, 13.541749448443964, SOV
204, O108Si54, 162, 3245.172808688073, 3244.482, 16.640099983406, -31.68721064814815, 54, 10.523583769428246, SSF
205, O56Si28, 84, 1632.2458674443924, 1682.3240000000003, 17.15427838321907, -31.669956752232142, 28, 12.188331660404115, SSY
206, O64Si32, 96, 1886.700089143687, 1922.6560000000002, 16.960830279349686, -31.67877960205078, 32, 11.337056058680448, STF
207, O144Si72, 216, 4265.910752566196, 4325.976, 16.877990229094166, -31.664621988932293, 72, 12.703058073239431, STI
208, O224Si112, 336, 6096.561814652901, 6729.295999999999, 18.37101031778459, -31.703262329101562, 112, 8.974831989314461, STO
209, O128Si64, 192, 3824.6700388749036, 3845.312, 16.73346964561334, -31.671566009521484, 64, 12.033061935148362, STT
210, O120Si60, 180, 3682.90504758914, 3604.98, 16.291487080090892, -31.64156494140625, 60, 14.927724979077134, STW
211, O112Si56, 168, 3161.2432544800945, 3364.648, 17.714549464245483, -31.685169764927455, 56, 10.72049906635121, SVV
212, O144Si72, 216, 4428.370678142237, 4325.976, 16.258801539668085, -31.66885715060764, 72, 12.29442708918243, SWY
213, O72Si36, 108, 2001.4921987008595, 2162.9880000000003, 17.986580224178287, -31.691538492838543, 36, 10.106010233811823, SZR
214, O160Si80, 240, 4564.2113290187635, 4806.639999999999, 17.527672194179228, -31.684368896484376, 80, 10.797771124676787, TER
215, O20Si10, 30, 610.0090942152708, 600.83, 16.393198224141596, -31.622097778320313, 10, 16.806020689701775, THO
216, O144Si72, 216, 4163.549221480031, 4325.976, 17.292938348980517, -31.675944010416668, 72, 11.610649061416707, TOL
217, O48Si24, 72, 1295.1799239281854, 1441.9920000000002, 18.530243988966234, -31.689249674479168, 24, 10.326847635123693, TON
218, O768Si384, 1152, 28807.549247425104, 23071.872000000003, 13.32983922727557, -31.659154256184895, 384, 13.230614087484687, TSC
219, O384Si192, 576, 10947.465170451493, 11535.936000000002, 17.538306540424607, -31.689058939615887, 192, 10.345250751899682, TUN
